Function,Type,TQ144
IOL_2A,DPIO,1,LED0
IOL_2B,DPIO,2,LED1
IOL_3A,DPIO,3,LED2
IOL_3B,DPIO,4,LED3
GND,GND,5,
VCCIO_3,VCCIO,6,
IOL_4A,DPIO,7,B3_1
IOL_4B,DPIO,8,B3_2
IOL_5A,DPIO,9,B3_3
IOL_5B,DPIO,10,B3_4
IOL_8A,DPIO,11,B3_5
IOL_8B,DPIO,12,B3_6
IOL_9A,DPIO,-,
IOL_9B,DPIO,-,
GND,GND,13,
GND,GND,14,
IOL_10A,DPIO,15,B3_7
IOL_10B,DPIO,16,B3_8
IOL_12A,DPIO,17,B3_9
IOL_12B,DPIO,18,B3_10
IOL_13A,DPIO,19,B3_11
IOL_13B_GBIN7,GBIN,20,B3_12
IOL_14A_GBIN6,GBIN,21,B3_13
IOL_14B,DPIO,22,B3_14
IOL_17A,DPIO,23,B3_15
IOL_17B,DPIO,24,B3_16
IOL_18A,DPIO,25,
IOL_18B,DPIO,26,
VCC,VCC,27,
IOL_23A,DPIO,28,
IOL_23B,DPIO,29,
VCCIO_3,VCCIO,30,
IOL_24A,DPIO,31,BTN1
IOL_24B,DPIO,32,BTN2
IOL_25A,DPIO,33,BTN3
IOL_25B,DPIO,34,BTN4
IOB_56,PIO,37,RST
IOB_57,PIO,38,
IOB_59,PIO,-,
IOB_61,PIO,39,
VCC,VCC,40,
IOB_63,PIO,41,
IOB_64,PIO,42,
IOB_71,PIO,43,
IOB_72,PIO,44,
IOB_73,PIO,45,
IOB_74,PIO,-,
IOB_77,PIO,-,
IOB_78,PIO,-,
VCCIO_2,VCCIO,46,
IOB_79,PIO,47,
IOB_80,PIO,48,
IOB_81_GBIN5,GBIN,49,
IOB_82_GBIN4,GBIN,52,
GNDPLL0,GNDPLL,53,
VCCPLL0,VCCPLL,54,
IOB_87,PIO,-,
IOB_89,PIO,-,
IOB_91,PIO,55,RX
IOB_94,PIO,56,TX
VCCIO_2,VCCIO,57
GND,GND,59,
IOB_95,PIO,60,RTS
IOB_96,PIO,61,CTS
IOB_102,PIO,62,DTR
IOB_103_CBSEL0,PIO,63,DSR
IOB_104_CBSEL1,PIO,64,
CDONE,CONFIG,65,DCD
CRESET_B,CONFIG,66,
IOB_105_SDO,SPI,67,
IOB_106_SDI,SPI,68,
GND,GND,69,
IOB_107_SCK,SPI,70,
IOB_108_SS,SPI,71,
VCC_SPI,SPI,72,
IOR_109,PIO,73,
IOR_110,PIO,74,
IOR_111,PIO,75,
IOR_112,PIO,76,
NC,NC,77,
IOR_114,PIO,78,
IOR_115,PIO,79,B1_6
IOR_116,PIO,80,B1_7
IOR_117,PIO,81,B1_8
IOR_118,PIO,82
IOR_119,PIO,83,B1_10
IOR_120,PIO,84,B1_11
IOR_128,PIO,85,B1_12
IOR_129,PIO,-
GND,GND,86
IOR_136,PIO,87,
IOR_137,PIO,88,
VCCIO_1,VCCIO,89,B1_9
IOR_138,PIO,90,
IOR_139,PIO,91,
VCC,VCC,92,
IOR_140_GBIN3,GBIN,93,
IOR_141_GBIN2,GBIN,94,CLK
IOR_144,PIO,95,B1_13
IOR_146,PIO,96,B1_14
IOR_147,PIO,97,B1_15
IOR_148,PIO,98,B1_16
IOR_152,PIO,99,B1_17
IOR_154,PIO,-,
VCCIO_1,VCCIO,100,
IOR_160,PIO,101,
IOR_161,PIO,102,
GND,GND,103,
IOR_164,PIO,104,B1_18
IOR_165,PIO,105,B1_19
IOR_166,PIO,106,B1_20
IOR_167,PIO,107,B1_21
VPP_2V5,VPP,108,
VPP_FAST,VPP,109,
IOT_168,PIO,110,
VCC,VCC,111,
IOT_169,PIO,112,
IOT_170,PIO,113,
IOT_171,PIO,114,
IOT_172,PIO,115,
IOT_173,PIO,116,
IOT_174,PIO,117,
IOT_177,PIO,118,
IOT_178,PIO,119,
IOT_179,PIO,120,
IOT_181,PIO,121,
IOT_186,PIO,-,
IOT_188,PIO,-,
IOT_190,PIO,122,B0_1
VCCIO_0,VCCIO,123,
IOT_191,PIO,124,B0_2
IOT_192,PIO,125,B0_3
VCCPLL1,VCCPLL,126,
GNDPLL1,GNDPLL,127,
IOT_197_GBIN1,GBIN,128,B0_4
IOT_198_GBIN0,GBIN,129,B0_5
IOT_200,PIO,-,
IOT_202,PIO,-,
IOT_206,PIO,130,B0_6
IOT_207,PIO,-,
IOT_208,PIO,-,
IOT_211,PIO,-,
VCCIO_0,VCCIO,131,
GND,GND,132,
IOT_212,PIO,134,B0_7
IOT_213,PIO,135,B0_8
IOT_214,PIO,136,B0_9
IOT_215,PIO,137,B0_10
IOT_216,PIO,138,B0_11
IOT_217,PIO,139,B0_12
GND,GND,140,
IOT_219,PIO,141,B0_13
IOT_220,PIO,142,B0_14
IOT_221,PIO,143,B0_15
IOT_222,PIO,144,B0_16
IOT_223,PIO,-,
IOT_225,PIO,-,
VCC,VCC,-,
NC,NC,35,
NC,NC,,
NC,NC,50,
NC,NC,51,
NC,NC,58,
NC,NC,133,
GND,GND,-,
GND,GND,-,
GND,GND,-,
GND,GND,-,
VCCIO_3,VCCIO,-,
IOB_86,PIO,-,
